Stephen Curry 2022-23 Shooting,,,,,,,,,,
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,559,1133,0.493,273,639,0.427,0.614,268,0.479
,Playoffs,145,311,0.466,57,157,0.363,0.558,59,0.407
