Devin Booker 2022-23 Shooting,,,,,,,,,,
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,527,1067,0.494,111,316,0.351,0.546,237,0.45
,Playoffs,141,241,0.585,31,61,0.508,0.649,55,0.39
